Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
R Ashwin,2011-2015,10,6,5,40,16*,40,61,65.57,0,0,0,1,0,India,97,6,423,17,4/25,24.88,4.36,34.2,1,0,4,0,2,Bowler,73.8095238095238,73.8095238095238
M Azharuddin,1987-1999,30,25,4,826,93,39.33,1066,77.48,0,8,2,69,5,India,23.5,0,109,5,3/19,21.8,4.57,28.6,0,0,11,0,4,Batsman,71.38480392156862,76.10294117647058
S Dhawan,2015-2019,10,10,0,537,137,53.7,570,94.21,3,1,0,65,9,India,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman,57.89473684210525,57.89473684210525
MS Dhoni,2007-2019,29,25,7,780,91*,43.33,867,89.96,0,5,2,59,15,India,-,-,-,-,-,-,-,-,-,-,34,8,4,Wicket Keeper,63.70634920634921,61.85714285714286
R Dravid,1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,0,76,3,India,-,-,-,-,-,-,-,-,-,-,17,1,3,Batsman,50.108932461873636,50.0
SC Ganguly,1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25,India,62,1,305,10,3/22,30.5,4.91,37.2,0,0,1,0,3,All Rounder,44.966583124477864,39.285714285714285
N Kapil Dev,1979-1992,26,24,6,669,175*,37.16,581,115.14,1,1,0,54+,14+,India,237,27,892,28,5/43,31.85,3.76,50.7,0,1,12,0,4,All Rounder,45.43269230769231,45.43269230769231
Z Khan,2003-2011,23,11,2,52,15*,5.77,70,74.28,0,0,3,6,0,India,198.5,12,890,44,4/42,20.22,4.47,27.1,1,0,10,0,3,Bowler,32.32804232804232,20.0
V Kohli,2011-2019,26,26,4,1030,107,46.81,1188,86.7,2,6,0,91,5,India,3,0,19,0,-,-,6.33,-,0,0,14,0,3,Batsman,45.154553049289895,47.368421052631575
A Kumble,1996-2007,18,8,4,62,17,15.5,88,70.45,0,0,0,6,0,India,173.1,5,708,31,4/32,22.83,4.08,33.5,1,0,14,0,4,Bowler,59.942810457516345,72.5
Mohammed Shami,2015-2019,11,6,3,10,4*,3.33,15,66.66,0,0,1,1,0,India,96.1,9,487,31,5/69,15.7,5.06,18.6,3,1,8,0,2,Bowler,35.208333333333336,35.208333333333336
KS More,1987-1992,14,10,5,100,42*,20,86,116.27,0,0,1,10,1,India,-,-,-,-,-,-,-,-,-,-,12,6,2,Wicket Keeper,100.0,100.0
A Nehra,2003-2011,12,3,1,9,8*,4.5,9,100.0,0,0,1,2,0,India,92.5,10,409,18,6/23,22.72,4.4,30.9,1,1,1,0,3,Bowler,66.42857142857143,66.42857142857143
BKV Prasad,1996-1999,14,5,2,4,2*,1.33,15,26.66,0,0,2,0,0,India,129.5,5,578,17,5/27,34,4.45,45.8,0,1,2,0,2,Bowler,53.529411764705884,53.529411764705884
SK Raina,2011-2015,12,9,3,358,110*,59.66,333,107.5,1,2,0,30,9,India,17,1,76,2,1/12,38,4.47,51,0,0,9,0,2,Batsman,73.93483709273183,73.93483709273183
V Sehwag,2003-2011,22,22,0,843,175,38.31,794,106.17,2,3,1,108,18,India,32,2,120,4,2/17,30,3.75,48,0,0,11,0,3,Batsman,51.28968253968254,56.25
RG Sharma,2015-2019,17,17,2,978,140,65.2,1019,95.97,6,3,1,100,23,India,3,0,21,0,-,-,7,-,0,0,7,0,2,Batsman,26.052631578947373,26.052631578947373
J Srinath,1992-2003,34,18,9,85,18,9.44,80,106.25,0,0,3,5,2,India,283.2,21,1224,44,4/30,27.81,4.32,38.6,2,0,4,0,4,Bowler,43.55042016806723,41.02941176470589
SR Tendulkar,1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27,India,120,1,539,8,2/28,67.37,4.49,90,0,0,12,0,6,Batsman,34.18417366946779,23.713235294117645
Yuvraj Singh,2003-2011,23,21,7,738,113,52.71,817,90.33,1,7,2,68,13,India,92.3,4,462,20,5/31,23.1,4.99,27.7,1,1,4,0,3,All Rounder,41.60401002506266,36.904761904761905
CO Obuya,2003-2011,18,15,2,362,98*,27.84,528,68.56,0,2,1,27,9,Kenya,92.3,4,462,14,5/24,33,4.99,39.6,0,1,6,0,3,All Rounder,63.178780284043434,52.631578947368425
MO Odumbe,1996-2003,19,18,3,452,82,30.13,618,73.13,0,3,2,35,2,Kenya,116.5,9,567,18,4/38,31.5,4.85,38.9,1,0,3,0,3,All Rounder,45.43891780733886,46.153846153846146
SO Tikolo,1996-2011,28,27,1,768,96,29.53,1128,68.08,0,8,1,78,10,Kenya,95.3,3,512,15,3/14,34.13,5.36,38.2,0,0,10,0,5,All Rounder,60.69597069597071,65.38461538461539
MG Bevan,1996-2003,26,18,6,537,74*,44.75,834,64.38,0,5,1,35,5,Australia,50,2,237,4,2/35,59.25,4.74,75,0,0,6,0,3,Batsman,72.18137254901961,87.5
DC Boon,1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,0,72,5,Australia,1,0,17,0,-,-,17,-,0,0,2,0,2,Batsman,20.0,20.0
AR Border,1979-1992,25,24,0,452,67,18.83,640,70.62,0,1,2,39,0,Australia,73,1,342,9,2/27,38,4.68,48.6,0,0,10,0,4,All Rounder,61.05769230769231,61.05769230769231
MJ Clarke,2007-2015,25,21,7,888,93*,63.42,943,94.16,0,8,0,85,11,Australia,30,0,150,3,2/33,50,5,60,0,0,12,0,3,Batsman,56.64160401002507,52.38095238095239
PJ Cummins,2015-2019,12,9,2,58,23*,8.28,98,59.18,0,0,1,4,0,Australia,99.2,7,507,19,3/33,26.68,5.1,31.3,0,0,6,0,2,Bowler,65.20833333333334,65.20833333333334
AJ Finch,2015-2019,18,18,0,787,153,43.72,801,98.25,3,4,2,73,24,Australia,3,0,20,1,1/13,20,6.66,18,0,0,11,0,2,Batsman,48.94736842105264,48.94736842105264
DW Fleming,1996-1999,16,4,2,12,8*,6,17,70.58,0,0,2,0,0,Australia,133.2,12,583,26,5/36,22.42,4.37,30.7,0,1,5,0,2,Bowler,25.294117647058826,25.294117647058826
AC Gilchrist,1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19,Australia,-,-,-,-,-,-,-,-,-,-,45,7,3,Wicket Keeper,20.13227513227513,14.285714285714285
BJ Haddin,2011-2015,15,11,2,458,88,50.88,501,91.41,0,4,0,56,9,Australia,-,-,-,-,-,-,-,-,-,-,29,0,2,Wicket Keeper,50.95238095238096,50.95238095238096
ML Hayden,2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,0,106,23,Australia,-,-,-,-,-,-,-,-,-,-,7,0,2,Batsman,18.402777777777782,18.402777777777782
IA Healy,1992-1996,14,11,2,110,31,12.22,124,88.7,0,0,1,6,1,Australia,-,-,-,-,-,-,-,-,-,-,18,3,2,Wicket Keeper,58.75,58.75
MG Johnson,2011-2015,15,8,5,56,27*,18.66,39,143.58,0,0,2,7,1,Australia,121,9,557,25,4/19,22.28,4.6,29,3,0,5,0,2,Bowler,53.57142857142857,53.57142857142857
B Lee,2003-2011,17,4,1,28,15*,9.33,43,65.11,0,0,0,1,2,Australia,137.3,15,629,35,5/42,17.97,4.57,23.5,2,1,12,0,3,Bowler,21.666666666666664,21.666666666666664
DS Lehmann,1999-2003,19,16,5,360,76,32.72,444,81.08,0,3,1,34,3,Australia,38,0,155,6,2/22,25.83,4.07,38,0,0,2,0,2,All Rounder,53.38345864661653,53.38345864661653
GD McGrath,1996-2007,39,4,3,3,3*,3,5,60.0,0,0,1,0,0,Australia,325.5,42,1292,71,7/15,18.19,3.96,27.5,0,2,5,0,4,Bowler,26.02124183006536,12.5
GJ Maxwell,2015-2019,18,16,3,501,102,38.53,296,169.25,1,2,1,54,21,Australia,87,2,513,6,2/43,85.5,5.89,87,0,0,5,0,2,All Rounder,72.22222222222223,72.22222222222223
TM Moody,1987-1999,18,16,5,329,57,29.9,449,73.27,0,3,1,25,3,Australia,102,7,460,14,3/25,32.85,4.5,43.7,0,0,5,0,4,All Rounder,60.89743589743589,50.0
RT Ponting,1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31,Australia,-,-,-,-,-,-,-,-,-,-,28,0,5,Batsman,36.67016806722689,23.529411764705877
SPD Smith,2011-2019,24,20,2,834,105,46.33,931,89.58,1,8,0,74,7,Australia,33,0,190,2,1/6,95,5.75,99,0,0,8,0,3,Batsman,60.350877192982466,60.0
MA Starc,2015-2019,18,11,3,68,29,8.5,79,86.07,0,0,3,3,2,Australia,156.1,8,726,49,6/28,14.81,4.64,19.1,3,3,8,0,2,Bowler,11.25,11.25
A Symonds,2003-2007,18,13,8,515,143*,103,552,93.29,1,3,1,51,10,Australia,49.2,2,258,5,2/7,51.6,5.22,59.2,0,0,7,0,2,Batsman,54.86111111111111,54.86111111111111
SW Tait,2007-2011,18,1,1,0,0*,-,1,0.0,0,0,0,0,0,Australia,136.3,4,731,34,4/39,21.5,5.35,24,1,0,2,0,2,Bowler,33.13492063492064,33.13492063492064
SK Warne,1996-1999,17,9,3,66,24,11,72,91.66,0,0,1,4,2,Australia,162.5,16,624,32,4/29,19.5,3.83,30.5,4,0,2,0,2,Bowler,12.794117647058822,12.794117647058822
DA Warner,2015-2019,18,18,2,992,178,62,1011,98.12,4,3,0,104,17,Australia,-,-,-,-,-,-,-,-,-,-,9,0,2,Batsman,25.78947368421053,25.78947368421053
SR Watson,2007-2015,22,19,7,643,94,53.58,595,108.06,0,6,1,67,17,Australia,109.3,3,566,9,1/9,62.88,5.16,73,0,0,6,0,3,All Rounder,58.563074352548036,55.95238095238096
ME Waugh,1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9,Australia,62,1,313,5,3/38,62.6,5.04,74.4,0,0,11,0,3,Batsman,39.19934640522876,12.5
